1 1.98
1 1.0
1 2.74
1 2.12
1 3.46
1 4.31
1 5.42
1 9.19
1 0.13
1 1.82
1 5.83
1 0.42
1 0.72
1 0.56
1 2.08
2 0.37
2 0.0
2 5.87
2 0.24
2 1.32
2 0.0
2 0.69
2 8.17
2 1.11
2 0.43
2 4.88
2 0.72
2 1.25
2 1.52
2 6.33
3 0.38
3 0.27
3 5.82
3 0.0
3 1.41
3 3.24
3 4.65
3 8.66
3 0.78
3 1.04
3 3.96
3 1.12
3 1.86
3 2.75
3 4.13
4 0.0
4 3.57
4 4.54
4 0.35
4 1.11
4 3.22
4 6.39
4 10.09
4 0.0
4 0.03
4 0.0
4 0.0
4 0.0
4 1.27
4 7.02
5 1.74
5 0.85
5 0.0
5 0.0
5 2.97
5 4.13
5 5.17
5 1.75
5 1.8
5 0.0
5 8.36
5 7.1
5 0.95
5 2.67
5 5.33
6 5.82
6 3.64
6 11.51
6 4.89
6 6.5
6 3.48
6 6.38
6 8.45
6 5.91
6 4.79
6 8.92
6 5.07
6 5.39
6 8.33
6 8.93
7 7.61
7 4.04
7 14.45
7 2.38
7 8.6
7 5.87
7 8.06
7 0.0
7 6.47
7 7.74
7 11.81
7 7.69
7 7.61
7 5.59
7 5.95
8 8.59
8 4.77
8 14.79
8 1.61
8 9.32
8 4.39
8 4.81
8 3.45
8 8.15
8 8.88
8 12.52
8 9.49
8 9.05
8 0.37
8 0.0
9 8.73
9 3.81
9 15.92
9 2.23
9 6.75
9 4.77
9 5.27
9 5.51
9 8.3
9 6.31
9 9.16
9 8.63
9 8.31
9 5.63
9 5.68
10 11.02
10 4.27
10 15.43
10 6.91
10 7.86
10 6.12
10 8.45
10 8.45
10 11.16
10 11.81
10 15.03
10 10.0
10 9.05
10 7.39
10 11.46
11 7.15
11 2.78
11 14.34
11 2.73
11 8.75
11 6.68
11 5.2
11 2.79
11 7.16
11 6.83
11 10.85
11 9.07
11 9.18
11 5.13
11 8.1
12 0.95
12 6.22
12 12.06
12 0.2
12 6.08
12 4.82
12 5.05
12 5.12
12 5.5
12 4.73
12 10.03
12 6.67
12 7.01
12 0.0
12 0.39
13 0.4
13 7.29
13 7.1
13 2.47
13 0.0
13 5.71
13 8.36
13 9.42
13 8.59
13 6.2
13 12.84
13 11.52
13 5.4
13 4.37
13 7.57
14 4.65
14 1.86
14 3.17
14 2.46
14 2.72
14 11.39
14 0.0
14 8.25
14 0.18
14 1.07
14 6.47
14 6.74
14 1.09
14 4.38
14 4.43
